index,time,scramble
1,1:09.16,U2 R U' D2 F U2 D2 R U R2 U L2 D2 L2 F2 R2 L2 U L2 B2 F
2,1:07.07,L' U' R U2 D2 F' R U' B2 D2 R D2 R F2 U2 L U2 L' F2 D'
3,1:08.59,B D' R F B U F' U2 F2 D' F2 U' B2 D' B2 U2 R2 F2 U L' U
4,55.20,D L2 F R2 D2 F' U2 B' D2 B' R2 D2 F D L D2 F' R2 D' L F
5,1:23.33,D2 B L B' R F' R' D' R' F' L2 U2 B' L2 D2 L2 F2 R2 F B2
6,1:31.43,L' B2 L2 F2 U' F2 B' L2 D2 L' B2 R B2 L' F2 L D2 L B L
7,1:11.11,B2 D' F2 U' B2 U L2 U' F2 L2 B' D2 U L' F' R B D2 L' R
8,52.66,U2 B2 L2 D R2 U' L2 D U2 L U' F2 D' L' B R2 D R2
9,1:01.29,D F2 U' B2 U2 L2 F2 D2 F L' D B' D L U' F R2 U2
10,55.46,U' D' F' B R D F' L2 D B2 U F2 D2 B2 D F2 R2 D B R'
11,1:18.28,L2 U2 D' R2 U B' R' B2 U L2 D' L2 U2 D' L2 B2 L2 D' R2 L B2
12,1:17.65,F' R2 F U2 D' B' L R2 F2 R2 U L2 B2 D' B2 D' R2 U D R
13,48.36,U' F2 U' B L' B2 R U L' R2 F U2 F R2 D2 R2 D2 F2 R2 F D2
14,58.23,D' L2 B' U2 F U2 F' D2 F D2 L2 U2 F2 U' B' D2 B2 L F' R F
15,1:10.47,U L F2 R U R2 D' B L B' L2 F2 R2 U2 R2 B U2 D2 F' U2 F'
16,52.33,U' R2 B2 L2 F2 U' L2 F2 U2 R2 L B2 D' B2 D B' D' B' R'
17,58.08,B' D' L2 F' L D' L D U2 L D2 F2 L2 U2 R' B2 R' B2 R' U
18,43.60,B' U F' R2 B U R' D2 B' D' R2 D' R2 B2 U2 D' R2 L2 F2
19,52.59,U R F2 U2 L2 D2 B' R2 U2 F R2 B U2 B2 D' F2 L B R' F
20,1:27.21,R' U' B U2 L2 F2 L2 B R2 F' D2 F2 L2 U F2 R' D' F U2 R'
21,52.56,L2 U2 B2 F' L2 U2 F' L2 F' L2 F2 L2 U' R' B2 F R U F R D2
22,1:01.45,F L' R2 U2 R2 F' U2 F2 R2 U2 L2 F R2 B D B R B' L2 D2 B2
